,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE
Test Year,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0
Training Year,,,,,,
2012.0,3.949775184430737,3.7023011180400145,3.487302879647719,3.9398808700768035,4.350949555087185,5.6273517118151775
2013.0,4.0111030436199275,3.705981771743957,3.516490394479475,3.9182347912768987,4.301832748285786,5.499807922284209
2014.0,4.012607257921702,3.7089220571575376,3.5181074364723712,3.9193099830614226,4.300601098907448,5.497608376551597
2015.0,4.131266915577032,3.79518364541634,3.6121230706552065,3.9759476260458433,4.331205253326682,5.42992716786913
2016.0,4.087949180388364,3.7653950345378995,3.577872113222868,3.953442304812727,4.312368432802763,5.447512584201837
2017.0,4.221581423044494,3.87071972628791,3.688637178209219,4.037395219886819,4.385440936048214,5.414709747208193
