,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE
Test Year,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0
Training Year,,,,,,
2012.0,3.814969919593668,3.57909777237212,3.39253003519729,3.8141192041423713,4.21499140126505,5.770846048366731
2013.0,3.9052135480181955,3.570252324540667,3.47899540161762,3.876016261232594,4.439112141398811,6.1502259953271246
2014.0,3.8579105444531985,3.6033694879258147,3.3432692327523856,3.7627656772686287,4.05043058945081,5.6165619545609795
2015.0,4.0188838844307115,3.678125688881942,3.458567597187618,3.8025426975418637,4.12450318489761,5.8927388941850865
2016.0,4.410505601052783,4.305446105106867,3.915185437836864,4.243439597116903,3.8318614072793014,5.0797877214362535
2017.0,4.764812797806613,4.945289261495283,4.475509150008222,4.9731756534907205,4.166702719958566,4.6949213789703785
