,MAPE,MAPE,MAPE,MAPE,MAPE,MAPE
Test Year,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0
Training Year,,,,,,
2012.0,4.002149926096595,3.8336745325121147,3.6386123613781143,4.107098420591078,4.566226093227116,5.837585966224185
2013.0,3.998373563541339,3.821675248239549,3.62820990422256,4.099474241716872,4.558518010088938,5.834575872747915
2014.0,3.978965092983079,3.8020731917292685,3.595445120138325,4.0736146225195355,4.531100513536658,5.821916243344895
2015.0,4.00337667900243,3.839387048796631,3.6417296511643658,4.10928629073181,4.56810493768332,5.838316752118304
2016.0,4.004733054197361,3.849569276906231,3.6437481601740034,4.109947818951563,4.567311915549999,5.838007412940067
2017.0,4.018406385200724,3.868229870809686,3.665890647215327,4.127457030391574,4.585406571413883,5.8469735924996105
