,Training Year,Test Year,MAPE,Variables,No. of Variables,Alpha
10,2013,2016,3.9481560924062977,"['Temperature' 'Temperature-12hrs' 'Temperature-18hrs' 'Temperature-24hrs'
 'Temperature-36hrs' 'Temperature-48hrs' 'Temperature-72hrs'
 'Temperature-96hrs' 'Temperature over 6hrs' 'Temperature over 12hrs'
 'Wind speed' 'Wind speed^2' 'Wind speed^3' 'Wind direction'
 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Binary indicator windy day' 'Weekday' 'Yearly cycle (sine wave)'
 'Yearly cycle (cosine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Hour' 'Day'
 'Dayofweek' 'Dayofyear' 'Temperature Difference' 'Temp-48 Difference'
 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",35,0.1
11,2013,2017,5.485664618683397,"['Temperature' 'Temperature-12hrs' 'Temperature-18hrs' 'Temperature-24hrs'
 'Temperature-36hrs' 'Temperature-48hrs' 'Temperature-72hrs'
 'Temperature-96hrs' 'Temperature over 6hrs' 'Temperature over 12hrs'
 'Wind speed' 'Wind speed^2' 'Wind speed^3' 'Wind direction'
 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Binary indicator windy day' 'Weekday' 'Yearly cycle (sine wave)'
 'Yearly cycle (cosine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Hour' 'Day'
 'Dayofweek' 'Dayofyear' 'Temperature Difference' 'Temp-48 Difference'
 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",35,0.1
12,2014,2012,3.716689768733298,"['Temperature' 'Temperature-6hrs' 'Temperature-12hrs' 'Temperature-36hrs'
 'Temperature-48hrs' 'Temperature-72hrs' 'Temperature-96hrs'
 'Temperature over 6hrs' 'Temperature over 48hrs' 'Wind speed^2'
 'Wind speed^3' 'Wind direction' 'Cloud height' 'Sun duration'
 'Visibility' 'Humidity' 'Binary indicator windy day' 'Weekday'
 'Yearly cycle (sine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Quarter' 'Hour'
 'Day' 'Dayofweek' 'Dayofyear' 'Temperature Difference'
 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",33,0.2
13,2014,2013,3.3605651577428826,"['Temperature' 'Temperature-6hrs' 'Temperature-12hrs' 'Temperature-36hrs'
 'Temperature-48hrs' 'Temperature-72hrs' 'Temperature-96hrs'
 'Temperature over 6hrs' 'Temperature over 48hrs' 'Wind speed^2'
 'Wind speed^3' 'Wind direction' 'Cloud height' 'Sun duration'
 'Visibility' 'Humidity' 'Binary indicator windy day' 'Weekday'
 'Yearly cycle (sine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Quarter' 'Hour'
 'Day' 'Dayofweek' 'Dayofyear' 'Temperature Difference'
 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",33,0.2
14,2014,2014,3.12370100058139,"['Temperature' 'Temperature-6hrs' 'Temperature-12hrs' 'Temperature-36hrs'
 'Temperature-48hrs' 'Temperature-72hrs' 'Temperature-96hrs'
 'Temperature over 6hrs' 'Temperature over 48hrs' 'Wind speed^2'
 'Wind speed^3' 'Wind direction' 'Cloud height' 'Sun duration'
 'Visibility' 'Humidity' 'Binary indicator windy day' 'Weekday'
 'Yearly cycle (sine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Quarter' 'Hour'
 'Day' 'Dayofweek' 'Dayofyear' 'Temperature Difference'
 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",33,0.2
15,2014,2015,3.4614197406213805,"['Temperature' 'Temperature-6hrs' 'Temperature-12hrs' 'Temperature-36hrs'
 'Temperature-48hrs' 'Temperature-72hrs' 'Temperature-96hrs'
 'Temperature over 6hrs' 'Temperature over 48hrs' 'Wind speed^2'
 'Wind speed^3' 'Wind direction' 'Cloud height' 'Sun duration'
 'Visibility' 'Humidity' 'Binary indicator windy day' 'Weekday'
 'Yearly cycle (sine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Quarter' 'Hour'
 'Day' 'Dayofweek' 'Dayofyear' 'Temperature Difference'
 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",33,0.2
16,2014,2016,3.6994540433815843,"['Temperature' 'Temperature-6hrs' 'Temperature-12hrs' 'Temperature-36hrs'
 'Temperature-48hrs' 'Temperature-72hrs' 'Temperature-96hrs'
 'Temperature over 6hrs' 'Temperature over 48hrs' 'Wind speed^2'
 'Wind speed^3' 'Wind direction' 'Cloud height' 'Sun duration'
 'Visibility' 'Humidity' 'Binary indicator windy day' 'Weekday'
 'Yearly cycle (sine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Quarter' 'Hour'
 'Day' 'Dayofweek' 'Dayofyear' 'Temperature Difference'
 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",33,0.2
17,2014,2017,5.071975358307206,"['Temperature' 'Temperature-6hrs' 'Temperature-12hrs' 'Temperature-36hrs'
 'Temperature-48hrs' 'Temperature-72hrs' 'Temperature-96hrs'
 'Temperature over 6hrs' 'Temperature over 48hrs' 'Wind speed^2'
 'Wind speed^3' 'Wind direction' 'Cloud height' 'Sun duration'
 'Visibility' 'Humidity' 'Binary indicator windy day' 'Weekday'
 'Yearly cycle (sine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Quarter' 'Hour'
 'Day' 'Dayofweek' 'Dayofyear' 'Temperature Difference'
 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",33,0.2
18,2015,2012,3.9427177523631958,"['Temperature' 'Temperature-12hrs' 'Temperature-18hrs' 'Temperature-24hrs'
 'Temperature-36hrs' 'Temperature-48hrs' 'Temperature-72hrs'
 'Temperature-96hrs' 'Wind speed' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Binary indicator sunny day' 'Weekday' 'Yearly cycle (sine wave)'
 'Holiday_Alternate' 'Quarter' 'Hour' 'Day' 'Dayofweek' 'Dayofyear'
 'Temperature Difference' 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",30,0.55
19,2015,2013,3.6971634112125478,"['Temperature' 'Temperature-12hrs' 'Temperature-18hrs' 'Temperature-24hrs'
 'Temperature-36hrs' 'Temperature-48hrs' 'Temperature-72hrs'
 'Temperature-96hrs' 'Wind speed' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Binary indicator sunny day' 'Weekday' 'Yearly cycle (sine wave)'
 'Holiday_Alternate' 'Quarter' 'Hour' 'Day' 'Dayofweek' 'Dayofyear'
 'Temperature Difference' 'Temp-48 Difference' 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",30,0.55
